payment_id,order_id,amount,payment_date,payment_method,status
PM0000452,nan,3757.36,2023-10-01T20:59:00,not_a_date,nan
PM0000453,not_a_date,693.46,@@@,cod,paid
N/A,O0000454,2530.63,2023-06-16T20:41:04,not_a_date,paid
123abc,O0000455, ,@@@,card,paid
PM0000456,O0000456,3700.57,2025-01-28T06:28:00,NULL,paid
NULL,123abc,2593.37,123abc,upi,paid
NULL,O0000458,###BAD###,invalid,,9999-99-99
N/A,invalid,32-13-2025,2025-03-22T03:55:17,cod,paid
PM0000460,O0000460,4118.1,,netbanking,paid
PM0000461,O0000461,NULL,@@@,netbanking,paid
PM0000462,O0000462,3616.11,2023-02-17T22:43:34,@@@,paid
9999-99-99,O0000463,4613.97,2025-05-24T20:43:41,9999-99-99,###BAD###
PM0000464,O0000464,245.45,N/A,cod,N/A
PM0000465,O0000465,invalid,invalid,N/A,N/A
9999-99-99,###BAD###,###BAD###,32-13-2025,invalid,paid
PM0000467,O0000467,invalid,invalid,upi,paid
PM0000468,O0000468,7378.36,2023-07-18T00:30:27,upi,paid
PM0000469,O0000469,2046.22,invalid,upi,paid
 ,O0000470,invalid,123abc,@@@,refunded
null, , ,2023-05-05T01:24:20,###BAD###,paid
NULL,O0000472,7898.46,2025-06-24T01:19:39,card,paid
9999-99-99,O0000473,2772.52,2023-04-25T17:03:18,cod,paid
PM0000474,NULL,2769.92,2025-04-21T07:55:38,card,refunded
,@@@,invalid, ,upi,not_a_date
PM0000476,O0000476,5937.27, ,card,###BAD###
###BAD###,not_a_date,1049.5,2023-09-16T20:32:16,cod,invalid
PM0000478,O0000478,1464.43,2024-05-12T04:51:02,123abc,paid
PM0000479,invalid,15836.38,2025-01-02T09:37:56,netbanking,paid
PM0000480,O0000480,621.5,2024-09-24T19:21:18,card,paid
PM0000481,O0000481,###BAD###,2024-05-01T16:52:53,card,9999-99-99
PM0000482,O0000482,884.14,NULL,card,paid
PM0000483,O0000483,,not_a_date,,paid
null,null,209.92,2024-09-05T13:21:10,card,nan
N/A,@@@,9999-99-99,2023-01-08T20:14:44,netbanking,paid
PM0000486,O0000486,3658.58,2024-11-09T23:24:13,card,paid
PM0000487,O0000487,5501.2,nan,9999-99-99,###BAD###
PM0000488,O0000488,9999-99-99,2025-01-07T01:01:12,netbanking,paid
PM0000489,O0000489,12136.43,not_a_date,netbanking,paid
9999-99-99,O0000490, ,nan,123abc,invalid
PM0000491,O0000491,@@@,NULL,invalid,paid
PM0000492,nan,32-13-2025,2025-02-01T21:10:33,null,paid
PM0000493,O0000493,9999-99-99,not_a_date,cod,123abc
 ,O0000494,null,,,paid
PM0000495,null,null,N/A,upi,9999-99-99
PM0000496,O0000496,N/A,N/A,NULL,refunded
,O0000497,N/A,32-13-2025,cod,paid
null,O0000498,2947.82,null,,
PM0000499, ,6686.78,2025-04-01T20:58:50,not_a_date,paid
PM0000500,O0000500,32-13-2025,2024-02-20T14:55:15,nan,@@@
PM0000501,32-13-2025,4795.36,2025-02-11T18:10:59,32-13-2025,paid
PM0000502,@@@,null,,card,paid
nan,O0000503,1739.03,2024-11-19T13:28:29,upi,paid
PM0000504, ,2270.62,2024-07-13T12:01:11, ,paid
not_a_date,O0000505, ,9999-99-99,@@@,paid
,O0000506,2552.56,2024-04-11T03:07:04,not_a_date,paid
invalid,invalid,,2024-11-05T08:19:47,@@@,paid
PM0000508,O0000508,null,2023-10-10T22:47:34,card,N/A
PM0000509,O0000509,5370.71,32-13-2025,,paid
PM0000510,32-13-2025,null,nan,null,9999-99-99
PM0000511,O0000511, ,null,card,not_a_date
PM0000512,not_a_date,2196.2,32-13-2025,cod,invalid
PM0000513,9999-99-99, ,2023-03-03T11:08:36,NULL,paid
PM0000514,O0000514,N/A,32-13-2025,9999-99-99,paid
PM0000515,O0000515,501.13,123abc,netbanking,###BAD###
PM0000516,invalid,583.44,2025-03-11T12:13:25,cod,not_a_date
PM0000517,123abc,@@@, ,upi,paid
PM0000518,nan,6360.88,2023-08-02T21:35:11,cod,paid
PM0000519,O0000519,6740.73,2024-02-12T02:58:24,N/A,paid
invalid,O0000520,192.64,2023-05-24T14:03:23, ,paid
PM0000521,O0000521,2373.76,###BAD###,null,paid
NULL,O0000522, ,2023-05-21T12:57:55,netbanking,invalid
NULL,O0000523,N/A,null,netbanking,123abc
PM0000524,O0000524,4765.83,2024-02-18T00:09:28, ,not_a_date
N/A,O0000525,5851.94,2024-11-04T18:56:31,card,paid
PM0000526,O0000526,3275.36,2025-07-23T11:44:53,9999-99-99,paid
###BAD###,O0000527,2672.7,9999-99-99,cod,paid
PM0000528,O0000528,320.1,123abc,null,paid
PM0000529,,3858.2,2023-11-20T08:56:40,card, 
null, , ,2025-10-07T13:48:35,###BAD###,paid
invalid,O0000531,6285.77,invalid,123abc,32-13-2025
PM0000532,9999-99-99,9051.99,2024-02-29T16:02:29,cod,
PM0000533,O0000533,7057.16,2025-03-28T06:25:02,card,
PM0000534,@@@,1506.18,2025-08-08T15:29:04,netbanking,32-13-2025
PM0000535,123abc,NULL,2025-08-22T08:53:10,card,N/A
PM0000536,O0000536,not_a_date,2024-08-25T03:34:47,card,paid
###BAD###,O0000537,3531.4,2024-07-13T04:28:22,###BAD###,123abc
PM0000538,invalid,4100.64,@@@,nan,paid
123abc,not_a_date,3500.38,2024-09-23T14:03:38,cod,nan
N/A,nan,869.14,2024-05-26T11:58:15,card,32-13-2025
null,O0000541,32-13-2025,2023-01-30T10:52:12,card,paid
PM0000542,O0000542,3076.05,,cod,32-13-2025
not_a_date,O0000543,4936.6,2024-10-31T10:35:40,null,invalid
123abc,O0000544,3934.13, ,upi,paid
PM0000545,123abc,###BAD###,2025-04-03T20:20:00,cod,32-13-2025
@@@,O0000546, ,2024-07-24T20:39:23,netbanking, 
@@@,O0000547,276.6,null,netbanking,9999-99-99
PM0000548,invalid,3475.88,nan,netbanking,@@@
123abc,O0000549,3239.47,nan,123abc,paid
PM0000550,O0000550,4985.7,2024-04-21T16:37:45,123abc,123abc
PM0000551,not_a_date,N/A,,netbanking,9999-99-99
@@@,,5942.83,,invalid,N/A
PM0000553,null,###BAD###,2023-03-19T07:59:46,cod,paid
NULL, ,null,2024-07-23T10:41:50,cod,NULL
PM0000555,O0000555,3199.32,2023-02-18T07:54:46,netbanking,paid
123abc,O0000556,###BAD###,2023-04-21T21:15:51,NULL,paid
PM0000557,invalid,N/A,N/A,cod,paid
123abc,O0000558,32-13-2025,null,netbanking,123abc
###BAD###,O0000559,###BAD###,2024-02-23T07:32:05,123abc,paid
null,O0000560,123abc,2024-02-09T07:27:11,upi,paid
PM0000561,O0000561,5378.17,2025-07-07T20:12:17,cod,paid
PM0000562,N/A,4535.97,null,N/A,
PM0000563,O0000563,2312.38,2023-11-16T15:01:48,card,invalid
PM0000564,O0000564,nan,123abc,cod,paid
PM0000565,9999-99-99,4165.55,9999-99-99,upi,nan
,###BAD###,1068.18,2025-08-19T06:09:58,NULL,
PM0000567,O0000567,4017.9,2025-04-08T13:25:47,cod,NULL
null,@@@,not_a_date,invalid,NULL,
PM0000569,O0000569,666.67,2023-11-29T06:48:27,invalid,paid
PM0000570,###BAD###,878.6,@@@,cod,paid
PM0000571,O0000571, ,,card,123abc
PM0000572,NULL,9999-99-99,2025-07-21T21:09:16,netbanking,paid
PM0000573,O0000573,NULL,32-13-2025,card,paid
 ,123abc,2930.18,2025-05-16T05:53:27,N/A,paid
PM0000575,9999-99-99,5477.35,null,card,@@@
123abc,O0000576,4633.69,9999-99-99,9999-99-99,
PM0000577,O0000577,123abc,2023-12-11T15:00:06,NULL,invalid
PM0000578,O0000578,8687.83, ,N/A,NULL
PM0000579,nan,3524.25,@@@, ,paid
PM0000580,###BAD###,3199.75,2023-05-01T23:11:51,32-13-2025, 
PM0000581,O0000581,2364.81,2023-08-12T20:10:05, ,paid
 ,O0000582,10506.72,2023-05-12T10:01:37,cod,paid
PM0000583,O0000583,4414.37,2023-05-06T08:48:00,nan,paid
 ,nan,1803.9,123abc,upi,not_a_date
not_a_date,O0000585,###BAD###,2024-11-21T19:27:21,,paid
PM0000586,O0000586,4453.39,2024-05-05T11:42:25,card,paid
PM0000587,NULL,2903.41,N/A,cod,paid
PM0000588,nan,3837.16,2023-09-09T16:17:44,netbanking,refunded
9999-99-99,O0000589,8042.42,2025-08-31T16:26:42,null,paid
PM0000590,O0000590,1144.93,NULL,invalid, 
PM0000591,O0000591,3706.29,null,upi,9999-99-99
PM0000592,O0000592,1688.78,2025-09-02T21:54:44,invalid,invalid
PM0000593,N/A,N/A,2024-02-04T22:09:55,card,paid
PM0000594,N/A,3602.1,2023-06-28T09:53:43,cod,paid
PM0000595,O0000595,3071.48,2025-07-02T03:30:42,N/A,paid
@@@,###BAD###, ,32-13-2025,123abc,paid
9999-99-99,NULL,193.29,null,card,paid
###BAD###,O0000598,invalid,2025-10-04T02:50:44,netbanking,paid
PM0000599,123abc,9999-99-99,2024-12-03T12:58:45,nan,paid
not_a_date,###BAD###,3003.44,2024-04-22T07:16:07,card,paid
 ,O0000601,8620.36,N/A,,paid
nan,O0000602,446.06,2023-01-04T09:03:37,cod,paid
@@@, ,1480.31,2025-01-17T21:59:50,netbanking,invalid
PM0000604,O0000604,3947.26,2023-01-19T17:54:29,upi,paid
PM0000605,NULL,1911.42,2025-07-22T04:38:18,###BAD###,N/A
PM0000606,32-13-2025,1286.14,2025-10-25T22:07:17,NULL,paid
PM0000607,O0000607,invalid,2024-08-19T22:24:03,upi,paid
PM0000608,O0000608,@@@,nan,card,NULL
PM0000609,O0000609,3261.79,2025-09-25T23:25:19,netbanking,@@@
PM0000610,123abc,N/A,2025-03-14T10:27:43,upi, 
###BAD###,@@@,4264.37,2023-05-28T16:46:18,netbanking,paid
PM0000612,not_a_date,123abc,invalid,,9999-99-99
PM0000613,O0000613,1144.93,N/A,upi,paid
PM0000614,invalid,2995.61,2024-03-22T23:12:47,upi,invalid
PM0000615,O0000615,7544.01,,card,###BAD###
PM0000616,O0000616,1722.25,N/A,not_a_date,paid
PM0000617,O0000617,4395.57,2023-11-01T20:46:25,###BAD###,NULL
PM0000618,O0000618,N/A,32-13-2025,NULL,paid
PM0000619,123abc, ,NULL,###BAD###,N/A
PM0000620,O0000620,nan,NULL,netbanking,
PM0000621,NULL,1965.52,N/A,32-13-2025,paid
PM0000622,123abc,###BAD###,2025-06-07T09:36:08,null,paid
PM0000623,not_a_date,4936.6,2023-02-10T12:35:52,,paid
PM0000624,N/A,nan,2023-09-12T06:42:57,netbanking,paid
PM0000625,O0000625,9999-99-99,2025-07-04T10:07:02,netbanking,paid
PM0000626,O0000626,1436.39,2024-06-09T01:05:07,null,###BAD###
PM0000627,O0000627,###BAD###,2023-01-01T07:19:02,upi,paid
PM0000628,O0000628,3731.23,2025-10-01T22:20:33,upi,paid
###BAD###,O0000629,3056.22,2023-07-22T21:52:02,netbanking,paid
PM0000630,invalid, ,2024-03-16T04:38:35,invalid,paid
PM0000631,NULL,N/A,2025-05-14T02:35:16,netbanking,N/A
not_a_date,O0000632,2811.4,2023-06-20T08:43:27,netbanking,paid
PM0000633,O0000633,833.24,###BAD###,9999-99-99,paid
 ,O0000634,490.7,2023-11-11T10:50:27,null, 
PM0000635,9999-99-99,192.64,2023-09-13T17:07:43,card,123abc
NULL, ,62.14,2023-07-02T11:58:21,,refunded
N/A,O0000637,1937.79,2023-01-21T03:24:14,card,paid
PM0000638,O0000638,9094.02,NULL,not_a_date,###BAD###
PM0000639,O0000639,123abc,2024-07-09T19:06:57,upi,paid
32-13-2025,,1784.35,2024-12-07T23:43:50,cod,9999-99-99
9999-99-99,N/A,###BAD###,2023-09-19T08:00:43,netbanking,not_a_date
PM0000642,O0000642, , ,invalid,
9999-99-99,O0000643,2253.1,invalid,32-13-2025,###BAD###
PM0000644,O0000644,2822.75,2024-08-10T08:27:33,not_a_date,paid
PM0000645,O0000645, ,2023-06-28T09:26:49,card,paid
PM0000646,O0000646,6974.93,2024-05-06T02:10:36,upi,9999-99-99
N/A,O0000647,9200.13,2023-01-22T13:43:32,netbanking,###BAD###
invalid,O0000648,123abc,N/A,card,paid
N/A,O0000649,32-13-2025,2024-12-07T07:47:42,card,123abc
PM0000650,9999-99-99,563.38,2023-12-12T21:59:56,invalid,refunded
PM0000651,NULL,4589.33, ,@@@,paid
PM0000652,O0000652,320.1,N/A,netbanking,paid
N/A, ,4134.28,2024-09-04T15:18:16,null,9999-99-99
PM0000654,O0000654,13702.99,###BAD###,cod,9999-99-99
PM0000655,not_a_date,@@@,,upi,paid
PM0000656,NULL,1777.49,2024-12-17T23:11:25,card,invalid
invalid,O0000657,4335.93,not_a_date,cod,paid
PM0000658,O0000658,1722.86,2025-09-25T00:09:49,netbanking,NULL
PM0000659,@@@,9999-99-99,2025-02-05T09:23:27,,paid
PM0000660,O0000660,2336.25,,card,paid
9999-99-99,O0000661,2649.05,9999-99-99,cod,paid
PM0000662,###BAD###,5029.47,9999-99-99,cod,9999-99-99
PM0000663,O0000663,3025.65,not_a_date,netbanking,invalid
PM0000664,O0000664,nan,nan,cod,paid
PM0000665,###BAD###,N/A,2023-08-09T00:08:09,card,###BAD###
 ,,3849.27,2024-12-01T13:38:47,cod,@@@
PM0000667,O0000667,707.26,2025-09-22T02:48:27,netbanking,paid
PM0000668,O0000668,N/A,@@@,netbanking,paid
PM0000669,###BAD###,###BAD###,123abc,not_a_date,paid
PM0000670,O0000670,1688.78,2023-11-01T07:07:08,upi,paid
PM0000671,O0000671,2539.06,invalid,card,paid
PM0000672,O0000672,6002.97,###BAD###,cod, 
PM0000673,,3037.36,N/A,invalid,paid
PM0000674,32-13-2025,753.5,2024-12-19T22:26:15,card,paid
invalid,O0000675,not_a_date,NULL,upi,32-13-2025
PM0000676,O0000676,6729.67,2023-07-26T13:11:16,upi,paid
PM0000677, ,478.87, ,netbanking,paid
PM0000678,,9999-99-99,2025-01-10T23:49:37,upi,paid
PM0000679,O0000679,7420.17,2024-07-19T06:37:24,card,paid
PM0000680,O0000680,5170.38,2023-09-04T01:37:58,netbanking,paid
123abc,O0000681,4353.12,2025-07-01T03:04:34, ,paid
PM0000682,###BAD###,123abc,2024-02-18T17:46:09,nan,123abc
PM0000683,###BAD###,invalid,2024-06-01T17:22:57,card,paid
PM0000684,nan,1637.14, ,NULL,
PM0000685,O0000685,3704.07,2024-07-15T22:08:18,card,paid
123abc,invalid,@@@,123abc,9999-99-99,
PM0000687,###BAD###,not_a_date,2025-02-25T17:49:24, ,null
PM0000688,O0000688,NULL,123abc,card,paid
,O0000689,3544.49,2024-06-14T09:54:14,N/A,paid
not_a_date,O0000690,4193.03,2024-04-03T01:34:15,null,123abc
PM0000691,32-13-2025,146.45,N/A,netbanking,invalid
 ,O0000692,4193.03,N/A,9999-99-99,###BAD###
not_a_date,O0000693,,2024-06-24T23:08:26,upi,NULL
PM0000694,O0000694,3939.44,2023-01-22T11:14:46,123abc,@@@
PM0000695,O0000695,337.32,32-13-2025, ,refunded
PM0000696,nan,32-13-2025,32-13-2025,cod,@@@
PM0000697,O0000697,8352.18,2024-07-04T06:37:40,123abc,paid
PM0000698,9999-99-99,3345.91,2024-04-19T23:46:27,cod,null
PM0000699,O0000699,790.74,2024-01-07T14:11:52,netbanking,paid
N/A,9999-99-99, ,,netbanking,paid
PM0000701,O0000701,not_a_date,2024-01-20T02:09:04,cod,123abc
PM0000702,O0000702,1334.16,123abc,card,###BAD###
nan,O0000703,3169.58,2023-02-12T03:52:00,###BAD###,N/A
PM0000704,null,2046.22,2023-06-21T08:09:40,card,###BAD###
PM0000705,O0000705,2245.66,2024-11-24T22:05:12,123abc,@@@
,null,N/A,2024-11-10T15:09:15,123abc,paid
, ,1363.06,123abc,cod,paid
9999-99-99,O0000708,6661.67,nan,upi,N/A
,invalid,1318.81,@@@,null,paid
NULL,9999-99-99,9999-99-99,nan,upi,paid
PM0000711,O0000711,@@@,2023-06-23T01:38:09,null,paid
PM0000712,,@@@,2025-05-20T04:57:42,upi,paid
PM0000713,O0000713,3939.44, ,nan,paid
PM0000714,O0000714,4179.46,2023-01-05T04:49:41,9999-99-99,paid
PM0000715,invalid,1914.12,2025-09-06T02:07:36,upi,paid
9999-99-99,O0000716,9999-99-99,2024-10-23T04:11:49,123abc,paid
NULL,N/A,32-13-2025,nan,upi,NULL
PM0000718,O0000718,NULL,2024-05-18T12:26:35,cod,paid
PM0000719,###BAD###,3206.66,nan,netbanking, 
N/A,invalid,not_a_date,2025-01-10T00:13:54,,nan
PM0000721,null,@@@,2023-08-14T01:58:22,NULL,paid
NULL,O0000722,123abc,2023-10-23T17:59:58,netbanking,NULL
PM0000723,null,4007.39,nan,card,paid
PM0000724,O0000724,1935.91,2023-04-21T22:06:42,cod,paid
PM0000725,O0000725,N/A,2023-10-28T11:09:05,9999-99-99,paid
9999-99-99,O0000726,3381.42,N/A,@@@,32-13-2025
N/A,O0000727,563.38,2024-11-21T14:50:41,upi,123abc
PM0000728,O0000728,9999-99-99,2023-05-03T20:02:38,netbanking,refunded
nan,O0000729,3295.02,2025-05-17T21:56:29,not_a_date,paid
PM0000730,O0000730,not_a_date,2024-04-10T13:59:10,card,nan
PM0000731,9999-99-99,1510.14,2023-09-14T23:13:25,null,###BAD###
PM0000732,@@@,,32-13-2025,cod,paid
PM0000733,O0000733,9078.12,2023-04-22T11:41:27,invalid,123abc
PM0000734,O0000734,1378.13,2025-01-12T19:49:54,netbanking,N/A
PM0000735,O0000735,32-13-2025,,upi,paid
PM0000736,invalid,4718.06,2024-02-18T20:59:02,card,paid
###BAD###,O0000737,N/A,2025-09-17T01:03:20, ,paid
PM0000738,@@@,2885.59,2024-08-01T12:32:12,cod,paid
PM0000739,32-13-2025,,NULL,card,paid
PM0000740,O0000740,1968.4,2025-02-21T15:37:55,nan, 
N/A,O0000741,2514.72,32-13-2025,N/A,32-13-2025
PM0000742,O0000742,3773.1,2023-10-16T22:10:32,upi,invalid
PM0000743,O0000743,4156.12,2023-09-26T10:18:23,cod,paid
PM0000744,O0000744,@@@,nan,@@@,paid
invalid,not_a_date,3474.5,2023-01-31T04:49:55,@@@,paid
123abc,invalid,4890.8,nan,invalid,paid
PM0000747,O0000747,1601.4,32-13-2025,N/A,null
PM0000748,O0000748,9999-99-99,2024-06-08T14:41:59,123abc,paid
PM0000749,@@@,###BAD###,N/A,9999-99-99,nan
PM0000750,nan,2008.27,2024-10-04T11:05:43,null,paid
PM0000751,O0000751,275.31,,netbanking,paid
PM0000752, ,3703.98,2023-08-04T09:24:10,card,paid
@@@,O0000753,,2025-08-04T21:05:22,not_a_date,paid
not_a_date,O0000754,,2024-01-05T23:06:58,cod, 
PM0000755,O0000755,null,2025-04-02T10:04:20,123abc,paid
not_a_date,32-13-2025,9999-99-99,nan,123abc, 
PM0000757,N/A,N/A,2024-03-13T10:36:02,NULL,
nan,O0000758,4335.93,null,card,paid
PM0000759,O0000759,9700.86,,upi,not_a_date
PM0000760,O0000760,123abc,2024-09-02T22:28:55,netbanking,@@@
32-13-2025,@@@,,2023-04-21T02:57:57,,NULL
PM0000762,O0000762,1726.55,32-13-2025,netbanking,paid
PM0000763,O0000763,N/A,9999-99-99,netbanking,paid
PM0000764,O0000764,,nan,upi,32-13-2025
PM0000765,null,32-13-2025,32-13-2025,@@@,N/A
PM0000766,O0000766,2318.48,2023-01-08T14:53:54,nan,paid
PM0000767,123abc,nan,2024-03-23T23:12:26,null,paid
32-13-2025,O0000768,5089.06,2024-12-13T06:12:43,card,paid
PM0000769,O0000769,717.39,nan,card,@@@
PM0000770,O0000770,17447.15,not_a_date,NULL,123abc
PM0000771,nan,invalid,2023-12-27T14:27:23,netbanking,paid
PM0000772,null,4821.69,2024-08-06T21:44:43,NULL,not_a_date
PM0000773,O0000773,8357.68,not_a_date,cod,paid
PM0000774,O0000774,7261.29,2023-07-24T20:28:32,card,N/A
PM0000775,O0000775,not_a_date,2025-05-11T06:14:49,cod,paid
PM0000776,###BAD###, ,2025-08-19T03:22:50, ,@@@
 ,@@@, ,NULL,upi,paid
PM0000778,O0000778,3120.59,2025-04-29T21:15:00,cod,paid
invalid,null,NULL,2023-02-23T04:50:23, ,9999-99-99
PM0000780,null,9999-99-99,2025-05-30T07:35:25,cod,paid
PM0000781,O0000781,279.29,2025-05-28T04:40:24,netbanking,paid
nan,123abc,123abc,2024-10-13T16:10:27,32-13-2025, 
null,O0000783,4662.23,2025-03-13T20:58:16,netbanking,paid
PM0000784,O0000784,4186.54, ,N/A,paid
nan,O0000785,2681.61,2023-06-11T18:24:01,netbanking,@@@
PM0000786,nan,3399.3,nan,upi,paid
PM0000787,O0000787,1571.88,,invalid,refunded
9999-99-99,O0000788,4662.23,not_a_date,32-13-2025,invalid
PM0000789,@@@,12342.12,2023-09-09T03:09:18,invalid,paid
PM0000790,,2994.6,2025-10-09T11:58:53,123abc,paid
PM0000791,O0000791,14367.27,@@@,card,paid
nan,invalid,6199.48,2025-05-09T12:56:20,cod,paid
32-13-2025,O0000793,NULL,###BAD###,card,null
PM0000794,###BAD###,2767.0,2024-12-03T11:30:39,card,paid
NULL,O0000795,1268.57,2024-06-05T03:12:38,card,paid
PM0000796,###BAD###,4310.84,2025-01-17T03:57:13,netbanking,N/A
PM0000797,not_a_date,6425.48, ,null,N/A
not_a_date,O0000798,9999-99-99,2024-08-25T14:47:51,null,null
NULL,O0000799,2597.79,2023-12-21T06:43:54,upi,paid
PM0000800,nan,4929.65,N/A,not_a_date,paid
32-13-2025,O0000801,9999-99-99,2025-07-02T13:38:47,upi,paid
PM0000802,O0000802,1604.34,2025-02-23T13:12:36,123abc,@@@
N/A,O0000803,2101.49, ,32-13-2025,paid
PM0000804,O0000804,null,123abc,netbanking,paid
 ,###BAD###,NULL,2023-05-29T06:42:23, ,
PM0000806,O0000806,123abc,2024-10-14T22:00:45,cod,not_a_date
PM0000807,O0000807,4420.42,2024-04-21T17:04:24,netbanking,###BAD###
PM0000808,NULL,5529.42,2024-07-23T22:38:56,card,paid
 ,@@@,NULL,2025-06-10T10:52:20,card,NULL
PM0000810,32-13-2025,nan,2023-04-06T08:26:07,N/A,null
@@@,,,2025-02-23T07:36:01,card,paid
N/A, ,6107.76,2023-09-26T12:02:57,card,
PM0000813,O0000813,3169.58,,cod,9999-99-99
null,O0000814,123abc,not_a_date,upi,###BAD###
@@@,O0000815,4651.75,2023-04-07T12:19:44,cod,paid
PM0000816,O0000816,6296.86,,card,paid
PM0000817,123abc,4083.58,2024-10-23T22:46:27,not_a_date,paid
PM0000818,invalid,@@@,2025-01-25T17:00:59,not_a_date,paid
PM0000819,O0000819,NULL,2023-03-30T03:03:19,123abc,paid
null,NULL,6523.58,2023-12-15T04:37:29,upi, 
@@@,O0000821,NULL,2025-04-26T20:28:42,netbanking,32-13-2025
PM0000822,@@@,invalid,123abc,netbanking,NULL
PM0000823,O0000823,1543.14,32-13-2025,NULL,paid
PM0000824,32-13-2025,3910.16,9999-99-99,netbanking,paid
123abc,NULL,9999-99-99,2025-02-27T06:31:06,upi,paid
PM0000826,O0000826,123abc,2025-07-18T20:09:54,netbanking,paid
PM0000827,O0000827,176.59,2025-01-14T12:28:55,@@@,paid
PM0000828,null,invalid,not_a_date,card,paid
PM0000829,O0000829,1309.92,2023-08-08T23:07:15,cod,invalid
PM0000830,O0000830,@@@,2023-02-28T15:42:33,invalid,nan
null,null,1635.55,@@@,###BAD###,paid
PM0000832,O0000832,550.62,2025-06-22T08:23:06,cod,32-13-2025
9999-99-99,NULL,not_a_date,nan,cod,paid
PM0000834,O0000834,2776.42,2023-04-13T20:15:07,,###BAD###
PM0000835, ,,@@@,netbanking,paid
PM0000836,O0000836,@@@,2025-03-15T03:14:46,@@@,paid
 , ,N/A,2023-12-17T06:22:40,upi,paid
PM0000838, , ,null,123abc,paid
PM0000839,O0000839,@@@,nan,cod,paid
PM0000840,O0000840,1144.93,###BAD###,invalid,paid
PM0000841,###BAD###,4012.36,2023-06-07T05:43:48,9999-99-99,paid
PM0000842,, ,not_a_date,32-13-2025,32-13-2025
###BAD###,9999-99-99,2852.62,2024-08-18T07:33:32,netbanking,###BAD###
PM0000844,,6039.06,2024-09-15T23:21:28,upi,32-13-2025
not_a_date,O0000845,2594.36,123abc,upi,paid
NULL,O0000846,2790.33,2024-11-14T16:49:42,cod,paid
PM0000847,null,N/A,123abc,netbanking,123abc
PM0000848,NULL,5542.09,2023-03-05T07:36:47,cod,paid
PM0000849,O0000849,invalid,nan,upi,paid
nan,O0000850,invalid,invalid,@@@,paid
invalid,O0000851,2648.98,2025-05-04T08:19:12,upi,paid
9999-99-99,###BAD###,invalid,2025-07-20T18:50:50,123abc,paid
PM0000853,O0000853,1741.95,2023-10-29T14:43:09,upi,paid
PM0000854,O0000854,2123.66,###BAD###,###BAD###,paid
PM0000855,NULL,nan,2024-08-02T18:07:03,card,paid
PM0000856,O0000856,335.16,2023-01-02T01:16:08,upi,paid
PM0000857,O0000857,null,2023-06-26T22:17:09,netbanking, 
invalid,O0000858,123abc,2023-06-15T09:14:02,upi,
PM0000859,O0000859,3480.03,9999-99-99,upi,paid
PM0000860,O0000860,2805.16,2024-09-28T05:36:27,###BAD###,9999-99-99
nan,O0000861,,2024-02-13T08:08:26,null,nan
@@@,O0000862,3420.02,2024-08-31T18:59:40,32-13-2025,N/A
PM0000863,O0000863,###BAD###,2025-06-13T03:08:33,upi,paid
PM0000864,,2075.94,2024-12-26T13:29:26,cod,nan
@@@,123abc,3198.91,,upi,nan
PM0000866, ,454.02,###BAD###,upi,paid
PM0000867,O0000867,3763.42, ,9999-99-99,paid
PM0000868,not_a_date,,2023-04-23T08:53:41,card,32-13-2025
PM0000869, ,5328.92,2025-09-13T22:21:55,card,paid
PM0000870,O0000870,4278.6,nan,9999-99-99,###BAD###
nan,O0000871,NULL,2024-09-28T23:59:00,32-13-2025,paid
123abc,O0000872,4085.15,2023-01-01T04:38:56,card,paid
invalid,O0000873,null,2023-08-01T15:01:53,cod,###BAD###
123abc,O0000874,2629.64,2023-09-07T09:25:30,N/A,paid
PM0000875,O0000875,3620.35,NULL,card,not_a_date
N/A,,9828.87,9999-99-99,netbanking,paid
PM0000877,O0000877,6096.12,2024-08-16T09:42:06,cod,null
PM0000878,O0000878,2723.09,2024-07-17T12:24:44,cod,refunded
PM0000879,O0000879,2805.16,123abc,@@@,paid
PM0000880,O0000880,4264.37,@@@,cod,paid
@@@,O0000881,1579.36,2024-12-27T04:29:56,not_a_date,32-13-2025
PM0000882,O0000882,invalid,NULL,upi,paid
PM0000883,O0000883,3193.76,2023-05-09T05:41:09,upi,nan
PM0000884,O0000884,,2023-10-14T08:50:48,cod,N/A
PM0000885,O0000885,5778.69,2025-09-17T12:30:38,upi,paid
null,O0000886,2276.94,,cod,paid
PM0000887,nan,159.2,NULL,not_a_date,paid
,O0000888,255.23,2025-09-02T10:48:14,netbanking,paid
PM0000889,O0000889,1049.5,123abc,null,refunded
PM0000890,invalid,N/A,32-13-2025,###BAD###,paid
9999-99-99,O0000891, ,2023-03-02T05:20:06,@@@,paid
nan,O0000892,123abc,2024-02-14T06:16:31,upi,@@@
PM0000893,O0000893,invalid,###BAD###,netbanking,paid
not_a_date,O0000894,421.49,N/A,netbanking,paid
@@@,O0000895,N/A,2025-04-15T18:34:55,netbanking,paid
 ,O0000896,nan,2024-02-29T18:52:30,upi,paid
null,###BAD###,123abc,2023-05-18T14:27:40,card,paid
PM0000898,O0000898,,32-13-2025,upi,paid
9999-99-99,O0000899,1746.53,2024-08-16T08:24:45,netbanking,paid
PM0000900,not_a_date,NULL,nan,@@@,
PM0000901,invalid,###BAD###,2023-08-16T18:30:59,upi,
123abc,9999-99-99,9999-99-99,###BAD###,###BAD###,paid
