order_id,customer_id,order_date,status,total_items,payment_method,shipping_city
O0000418,C00101,2023-10-28T22:27:53,nan,1,null,###BAD###
 ,@@@,,delivered,not_a_date,cod,32-13-2025
32-13-2025,N/A,@@@,123abc,2,cod,Noida
NULL,C00750,null,delivered,2,###BAD###,Bengaluru
O0000422,,2023-08-30T22:13:29,###BAD###,NULL,,invalid
O0000423,C00944,2023-09-01T19:54:26,delivered,null,upi,Chennai
O0000424,C00042,,123abc,null,upi, 
O0000425,C00498,2023-02-27T04:09:50,delivered,,card,Chennai
###BAD###,C00911,2024-08-03T06:11:52,delivered,1,###BAD###,nan
O0000427,C00561,2024-12-15T02:55:02,delivered,not_a_date,upi,Noida
@@@,C00922,2024-11-22T12:30:53,delivered,nan,@@@,Bengaluru
@@@,C00517,2025-08-01T14:42:28,123abc,1,upi,Delhi
O0000430,9999-99-99,2025-04-18T12:14:57,not_a_date,,card,32-13-2025
O0000431,C00754,2024-07-22T20:05:55,N/A,1,###BAD###,Chennai
O0000432,not_a_date,###BAD###,32-13-2025,2,invalid,Kolkata
9999-99-99,C00769,NULL,###BAD###,N/A,invalid,Mumbai
123abc,C00282,###BAD###,not_a_date,not_a_date,cod,Delhi
O0000435,C00827,2024-10-18T12:37:02,###BAD###,null,card,Pune
O0000436,C00448,2024-01-05T13:01:55,delivered,2,cod,Chennai
,C00094,N/A,123abc,32-13-2025,not_a_date,nan
O0000438,NULL,9999-99-99,delivered,2,###BAD###,Pune
O0000439,C00186,2023-02-25T22:03:19,32-13-2025,2,123abc,Bengaluru
O0000440,N/A,123abc,null,,card,Kolkata
O0000441,C00246,2024-04-29T15:32:48,not_a_date,nan,card,Chennai
@@@,invalid,not_a_date,nan,3,card,Hyderabad
O0000443,NULL,2024-04-23T00:17:35,,1,card,Kolkata
O0000444,C00782,2023-09-15T09:36:26,not_a_date,9999-99-99,netbanking,null
O0000445,123abc,,shipped,2,nan,Mumbai
O0000446,N/A,2025-08-09T19:18:41,shipped,NULL,###BAD###,###BAD###
nan,@@@,###BAD###,N/A,3,invalid,Pune
nan,C00863,2024-03-11T18:53:32,delivered,2,N/A,Delhi
O0000449,C00308,9999-99-99,processing,1,upi,###BAD###
O0000450,C00216,2025-10-30T10:56:43,processing,1,32-13-2025,Noida
invalid,C00280,32-13-2025,delivered, ,upi,null
O0000452,C00936,2023-10-01T20:59:00,delivered,1,N/A,N/A
O0000453,9999-99-99,2023-12-22T13:35:57,invalid,1,cod,Hyderabad
O0000454,C00552,###BAD###,NULL,N/A,123abc,9999-99-99
O0000455,C00362,###BAD###,@@@,1,card,null
O0000456,32-13-2025,2025-01-28T06:28:00,delivered,1,card,Chennai
O0000457,C00697,2025-01-02T06:05:52,delivered,1,@@@,null
O0000458,C00240,2025-10-08T11:02:17,delivered,1,netbanking,Mumbai
9999-99-99,C00201,null,delivered,1,cod,Bengaluru
O0000460,C00566,2024-02-01T21:47:36,invalid,N/A,N/A,Delhi
O0000461,null,###BAD###,NULL,1,###BAD###,###BAD###
invalid,C00197,2023-02-17T22:43:34,delivered,32-13-2025,cod,Mumbai
O0000463,C00961,2025-05-24T20:43:41,,2,upi,Hyderabad
N/A,,2025-04-13T08:07:43,not_a_date,1,cod,nan
9999-99-99,C00530,2023-03-31T23:14:03,delivered,9999-99-99,null,Noida
9999-99-99,C00324,N/A,delivered,32-13-2025,card,32-13-2025
O0000467,C00707,2025-05-17T02:58:15,32-13-2025,1,upi,Chennai
O0000468,C00065,2023-07-18T00:30:27, ,123abc,upi,@@@
O0000469,@@@,@@@,processing,1,upi,Kolkata
O0000470,C00967,@@@,,3,N/A,32-13-2025
O0000471,C00088,2023-05-05T01:24:20,###BAD###,1,card,Bengaluru
123abc,C00064, ,###BAD###,###BAD###,card,32-13-2025
O0000473,C00694,2023-04-25T17:03:18,123abc,1,cod,Delhi
O0000474,C00633,2025-04-21T07:55:38,cancelled,123abc,card,N/A
O0000475,C00394,2025-08-08T13:56:39,delivered,1,not_a_date,Mumbai
invalid,C00465,123abc,###BAD###,N/A,card,Kolkata
 ,C00927,2023-09-16T20:32:16,delivered,1,@@@,null
O0000478,###BAD###,123abc,not_a_date,1,upi,N/A
9999-99-99,C00526,9999-99-99,,3,netbanking,Bengaluru
 ,C00481,2024-09-24T19:21:18,delivered,1,card,###BAD###
O0000481,invalid,2024-05-01T16:52:53,delivered,NULL,card,9999-99-99
@@@,nan,2024-02-05T06:40:58,invalid,1,card,Pune
N/A,C00194,9999-99-99,delivered,not_a_date,upi,Pune
O0000484,C00631,,invalid,1,card,123abc
###BAD###,C00225,2023-01-08T20:14:44,N/A,NULL,netbanking,Kolkata
O0000486,null, ,delivered,not_a_date,card,Pune
,C00011,2023-06-01T11:01:35,delivered,1,upi,not_a_date
123abc, ,2025-01-07T01:01:12,null,1,NULL,123abc
@@@,C00907,2024-06-20T23:11:21,processing,3,netbanking,invalid
O0000490,C00201,,processing,2,card,Bengaluru
O0000491,C00389,2023-08-16T10:59:13,invalid,9999-99-99,netbanking,32-13-2025
null,C00829,2025-02-01T21:10:33,shipped,1,,Delhi
,C00122,2023-10-23T04:50:12,delivered,9999-99-99,cod,Pune
O0000494,C00326,123abc,delivered, ,###BAD###,@@@
O0000495,123abc,invalid,NULL,1,upi,32-13-2025
O0000496,@@@,,N/A,nan,card,Bengaluru
O0000497,C00521,9999-99-99,invalid,1,cod,Bengaluru
, ,,32-13-2025,,cod,9999-99-99
O0000499,C00275,2025-04-01T20:58:50,delivered,3,card,nan
NULL,C00225,2024-02-20T14:55:15,@@@,3,upi,invalid
O0000501,C00911,2025-02-11T18:10:59,null,32-13-2025,upi,nan
O0000502,C00138,2023-06-22T09:28:33,123abc,1,card,NULL
32-13-2025,nan,2024-11-19T13:28:29,delivered,nan,N/A,Noida
O0000504,N/A,2024-07-13T12:01:11,32-13-2025,N/A,upi, 
nan,null,123abc,delivered,N/A,card,N/A
not_a_date,C00949,2024-04-11T03:07:04,delivered,1,,Pune
O0000507,C00202,NULL,returned,2,null,Kolkata
O0000508,C00723,2023-10-10T22:47:34,nan,2,card,invalid
O0000509,C00289,2024-12-10T12:25:52,delivered,NULL,9999-99-99, 
null,C00670,2023-11-02T12:14:14,delivered,###BAD###,netbanking,Noida
O0000511,C00240,2025-08-17T23:52:29,not_a_date,1,card,9999-99-99
O0000512,C00867,nan,delivered,1,cod,Noida
O0000513,C00874,32-13-2025,,9999-99-99,upi,nan
O0000514,C00512,,delivered,2,cod,Chennai
32-13-2025,C00334, ,processing,32-13-2025,netbanking,32-13-2025
O0000516,C00582,NULL,delivered,nan,cod,Kolkata
O0000517,9999-99-99,2023-08-11T10:36:28,delivered,@@@,invalid,Delhi
O0000518,123abc,nan,delivered,2,cod,Mumbai
9999-99-99,###BAD###,2024-02-12T02:58:24, ,32-13-2025,invalid,Chennai
NULL,NULL,NULL,delivered,1,netbanking,123abc
O0000521,nan,2025-04-21T12:10:07,delivered,1,NULL,Noida
O0000522,C00761,nan,delivered, ,netbanking,Chennai
O0000523,C00443,2025-08-30T05:38:36,processing,@@@,netbanking,Noida
NULL,nan,2024-02-18T00:09:28,,nan,cod,not_a_date
32-13-2025,C00539,2024-11-04T18:56:31,delivered,2,card,123abc
N/A,C00295,2025-07-23T11:44:53,,1,upi,Hyderabad
O0000527,C00628,2023-12-25T13:15:11,processing,1,N/A,Noida
O0000528,C00394,,delivered, ,card,Kolkata
NULL,9999-99-99,2023-11-20T08:56:40,N/A,1,card,Kolkata
O0000530,C00931,32-13-2025,delivered,2,N/A,not_a_date
O0000531,C00774,2023-08-04T16:49:49,not_a_date,NULL,nan,Bengaluru
9999-99-99,C00259,2024-02-29T16:02:29,delivered,3,9999-99-99,Hyderabad
O0000533,C00352,2025-03-28T06:25:02,delivered,3,9999-99-99,NULL
null,C00335,32-13-2025,NULL,1,not_a_date,Noida
O0000535,C00144,2025-08-22T08:53:10,delivered,2,not_a_date,Delhi
O0000536,C00182,2024-08-25T03:34:47,delivered,2,card,Mumbai
O0000537,C00694,2024-07-13T04:28:22,delivered,2,123abc,Kolkata
O0000538,invalid, ,,,N/A,nan
not_a_date,C00707,,delivered,1, ,32-13-2025
9999-99-99,C00952,nan,delivered,1,invalid,Hyderabad
O0000541,C00029,2023-01-30T10:52:12,nan,32-13-2025,card,Kolkata
O0000542,not_a_date,2023-07-17T21:10:46,delivered,1,cod,NULL
NULL,invalid,not_a_date,@@@,1,null,Hyderabad
32-13-2025,nan,9999-99-99,9999-99-99,,upi,null
O0000545,C00016,2025-04-03T20:20:00,N/A,@@@,invalid,Kolkata
9999-99-99,NULL,32-13-2025,delivered,1,netbanking,Hyderabad
O0000547,NULL,2025-10-20T03:45:34,cancelled,@@@,9999-99-99,Chennai
O0000548,32-13-2025,nan,delivered,1,netbanking,###BAD###
O0000549,C00180,2024-10-13T21:30:04,delivered,1,###BAD###,NULL
O0000550,C00524,2024-04-21T16:37:45,shipped,not_a_date,netbanking,###BAD###
,C00632,2023-09-12T09:15:47,delivered,invalid,null,not_a_date
O0000552,not_a_date,not_a_date,delivered,N/A,123abc,Kolkata
O0000553,N/A,2023-03-19T07:59:46,delivered,1,9999-99-99,invalid
9999-99-99,C00138,9999-99-99,cancelled,NULL,cod,Chennai
O0000555,###BAD###,123abc,delivered,invalid,invalid,@@@
O0000556,32-13-2025,invalid,delivered,1,netbanking,Hyderabad
nan,C00534,2024-10-20T05:28:40,delivered,nan,not_a_date,Delhi
O0000558,null,2024-01-30T01:40:09,processing,nan,netbanking,Delhi
O0000559,nan,2024-02-23T07:32:05,delivered,null,cod,Chennai
O0000560,C00169, ,delivered,1,upi,Chennai
O0000561,not_a_date,null,32-13-2025,2,cod,Delhi
O0000562,,2025-01-06T12:24:10,delivered,N/A,cod,Hyderabad
,C00779, ,delivered,1,card,null
O0000564,C00610,###BAD###,delivered,nan,cod,###BAD###
NULL,C00465,2024-08-03T12:35:38,delivered,invalid,upi,32-13-2025
O0000566,C00733,N/A,@@@,1,card,Pune
O0000567,C00504,2025-04-08T13:25:47,invalid,1,cod,Chennai
nan,C00657,null,shipped,1,card,Hyderabad
O0000569,C00955,2023-11-29T06:48:27,nan,2,upi,Noida
###BAD###,null,N/A,delivered,1,cod,Kolkata
O0000571,C00249,9999-99-99,NULL,1,NULL,Bengaluru
not_a_date,C00268,2025-07-21T21:09:16,not_a_date,2,netbanking,not_a_date
NULL,,2023-07-09T20:45:58,delivered,1,null,@@@
O0000574,C00898,not_a_date,delivered,1,upi,@@@
O0000575,32-13-2025,2024-09-22T23:26:48,processing,null,card,invalid
N/A,C00652,2024-12-06T04:17:47, ,2,cod,Chennai
###BAD###, ,2023-12-11T15:00:06,delivered,32-13-2025,cod,N/A
O0000578,invalid,32-13-2025,delivered,2, ,
O0000579,nan,invalid,N/A,nan,nan,123abc
O0000580,invalid,2023-05-01T23:11:51,cancelled,1,9999-99-99,32-13-2025
@@@,C00452,2023-08-12T20:10:05,123abc,32-13-2025,cod,Delhi
O0000582,@@@,@@@,delivered,3,cod,Delhi
O0000583,C00010,null,delivered,123abc, ,
N/A,C00217,null,123abc,9999-99-99,upi, 
32-13-2025,32-13-2025,2024-11-21T19:27:21,delivered,123abc,32-13-2025,Pune
O0000586,null,2024-05-05T11:42:25,delivered,123abc,NULL,Pune
O0000587,###BAD###,N/A,,1,N/A,Bengaluru
32-13-2025, , ,NULL,1,netbanking, 
O0000589,9999-99-99,2025-08-31T16:26:42,delivered,1,9999-99-99,Mumbai
null,C00649,2025-01-07T01:51:47,delivered,1,cod,Kolkata
###BAD###,C00622,2025-09-19T12:47:39,not_a_date,123abc,not_a_date,Hyderabad
O0000592,C00962,2025-09-02T21:54:44,9999-99-99,9999-99-99,9999-99-99,NULL
nan,C00622,2024-02-04T22:09:55,delivered,1, ,Bengaluru
O0000594,C00510,###BAD###,shipped,1,cod,9999-99-99
NULL,C00918,nan,delivered,NULL,netbanking,Kolkata
32-13-2025,C00175,invalid,123abc,1,upi,Hyderabad
not_a_date,invalid,2024-07-28T07:46:16,delivered,1,invalid,invalid
O0000598, ,2025-10-04T02:50:44,###BAD###,1,netbanking,123abc
O0000599,@@@,2024-12-03T12:58:45, ,1,N/A,Hyderabad
@@@,C00828,2024-04-22T07:16:07,NULL,1,card,Delhi
 ,C00349,32-13-2025,delivered,invalid,9999-99-99,Hyderabad
O0000602,C00591,2023-01-04T09:03:37,delivered,1,cod,Hyderabad
not_a_date,C00328,invalid,delivered,32-13-2025,netbanking,32-13-2025
O0000604,C00405,2023-01-19T17:54:29,delivered,1,null,
O0000605,C00512,123abc,delivered,1,N/A,Pune
O0000606,C00317,null,shipped,1,cod,Kolkata
null,nan,2024-08-19T22:24:03, ,1,upi,123abc
O0000608,nan,2024-03-07T23:59:51,not_a_date,1,card,NULL
,###BAD###, ,123abc,1,netbanking,Mumbai
O0000610,,2025-03-14T10:27:43,N/A,32-13-2025,upi,Hyderabad
O0000611,C00401,null,delivered,nan,netbanking,Hyderabad
O0000612,C00100,@@@,delivered,2,32-13-2025,Chennai
not_a_date,N/A,2023-12-02T18:08:28,delivered,1,123abc,Bengaluru
N/A, ,2024-03-22T23:12:47,delivered,@@@,upi,Delhi
O0000615,C00695,2023-10-30T12:27:43,not_a_date,2,card,Delhi
9999-99-99,C00365,2025-08-28T05:03:07,@@@,2,###BAD###,###BAD###
null,C00994,2023-11-01T20:46:25,delivered,1,card,Kolkata
invalid,not_a_date,123abc,shipped,1,not_a_date,nan
O0000619,NULL,N/A,delivered,2,cod,
O0000620,123abc,2023-09-03T03:05:07,delivered,nan,netbanking,@@@
32-13-2025,C00601,null,delivered,1,netbanking,@@@
O0000622,9999-99-99,2025-06-07T09:36:08,invalid,1,@@@,
nan,N/A,###BAD###,nan,1,cod,Delhi
O0000624,not_a_date,2023-09-12T06:42:57,###BAD###,invalid,netbanking,Mumbai
null,C00569,2025-07-04T10:07:02,delivered,1,netbanking,Bengaluru
O0000626,C00090,2024-06-09T01:05:07,delivered,NULL,###BAD###,Bengaluru
O0000627,9999-99-99,2023-01-01T07:19:02,processing,1,upi,Noida
N/A,123abc,123abc,processing,invalid,32-13-2025,Kolkata
O0000629,###BAD###,###BAD###,delivered,invalid,32-13-2025,32-13-2025
O0000630,NULL,2024-03-16T04:38:35,delivered,NULL,upi,Chennai
nan,C00132,2025-05-14T02:35:16,###BAD###,2,netbanking,@@@
O0000632,C00468,2023-06-20T08:43:27,processing,2,netbanking,Kolkata
O0000633,invalid,2024-07-05T20:44:41,delivered,1,upi,not_a_date
O0000634,C00430,2023-11-11T10:50:27,delivered,@@@,9999-99-99,Delhi
O0000635,C00277,invalid,delivered,1,card,Pune
9999-99-99,C00656,32-13-2025,null,NULL,netbanking,Kolkata
O0000637,C00281,not_a_date,@@@,1,card,Delhi
O0000638,123abc,2024-09-19T18:52:51,NULL,1,upi,Chennai
###BAD###,C00565,2024-07-09T19:06:57,delivered,1, ,9999-99-99
O0000640,C00186,2024-12-07T23:43:50,invalid,1,cod,Noida
32-13-2025,null,2023-09-19T08:00:43,delivered,1,@@@,Bengaluru
O0000642,C00147,invalid,delivered,1,upi,Kolkata
O0000643,C00695,2025-05-06T22:29:11,###BAD###,1,,Noida
O0000644,invalid,2024-08-10T08:27:33,NULL,1,null,Chennai
O0000645,32-13-2025,2023-06-28T09:26:49,NULL,nan,card,Delhi
O0000646,nan,2024-05-06T02:10:36,nan,2,@@@,@@@
O0000647,C00828,not_a_date,processing,1,netbanking,invalid
32-13-2025,N/A,2023-09-13T12:00:39,delivered,1,,Hyderabad
O0000649, ,2024-12-07T07:47:42,123abc,2,null,Noida
NULL,###BAD###,2023-12-12T21:59:56,###BAD###,1,netbanking,Bengaluru
O0000651,123abc,2025-01-21T04:32:22,not_a_date,1,invalid,9999-99-99
32-13-2025,###BAD###,2023-12-16T11:07:21,N/A,1,netbanking,not_a_date
O0000653,C00298,@@@,not_a_date,1,NULL,Kolkata
null,C00946,2024-09-16T20:32:52,processing,2,cod,Noida
O0000655,32-13-2025,9999-99-99,null,1,N/A,nan
N/A,C00006,2024-12-17T23:11:25,delivered,1,card,Hyderabad
O0000657,C00504,32-13-2025,@@@,1,not_a_date,Delhi
not_a_date,9999-99-99,2025-09-25T00:09:49,delivered,9999-99-99,9999-99-99,Noida
 ,not_a_date,2025-02-05T09:23:27,processing,nan,upi,Delhi
O0000660,123abc,2025-06-18T05:08:22,, ,card,Pune
O0000661,C00905,@@@,delivered,1,cod,null
null,NULL,32-13-2025,not_a_date,3,cod,Chennai
O0000663,C00122,2025-05-12T15:35:31,9999-99-99,NULL,invalid,not_a_date
O0000664,C00770,2025-03-29T16:46:59,delivered,1,###BAD###,N/A
NULL,NULL,2023-08-09T00:08:09,delivered,1,N/A,Kolkata
O0000666,not_a_date,2024-12-01T13:38:47,delivered,1,cod,Chennai
O0000667,C00289,2025-09-22T02:48:27,null,9999-99-99,netbanking,nan
O0000668,123abc,32-13-2025,invalid,@@@,netbanking,Hyderabad
nan,C00204,2025-08-28T22:50:51,delivered,N/A,###BAD###,null
 ,C00876,,123abc,1,upi,NULL
O0000671,32-13-2025,2023-10-27T13:01:39,delivered,1,nan,Hyderabad
 ,C00418,not_a_date,32-13-2025,,cod,Noida
 ,C00063,2025-05-24T20:03:19,delivered,@@@,invalid,Chennai
invalid,C00966,N/A,delivered,32-13-2025,card,Bengaluru
O0000675,C00042,2023-01-02T01:42:47,delivered,9999-99-99,upi,Noida
32-13-2025,,123abc,processing,3,9999-99-99,Pune
O0000677,C00312,not_a_date,32-13-2025,1,netbanking,Pune
O0000678,C00370, ,delivered,N/A,upi,Kolkata
O0000679,C00666,123abc,delivered,3,not_a_date,Bengaluru
invalid,C00645,2023-09-04T01:37:58,nan,@@@,netbanking,Kolkata
nan,C00722,9999-99-99,delivered,2,9999-99-99,Noida
O0000682,C00780,2024-02-18T17:46:09, ,1,netbanking,Hyderabad
O0000683,###BAD###,32-13-2025,delivered,1,card,Hyderabad
 ,NULL,2025-09-15T13:33:59,shipped,1,card,Bengaluru
O0000685,C00614,32-13-2025,delivered,2,card,Kolkata
O0000686,C00759,N/A,processing,9999-99-99,card,Bengaluru
O0000687,NULL,not_a_date,delivered,N/A,upi,Kolkata
O0000688,C00189,not_a_date,delivered,not_a_date,invalid,nan
O0000689,NULL,2024-06-14T09:54:14,N/A,2,upi,Delhi
32-13-2025,@@@,null,N/A,1, ,Chennai
O0000691,C00950,123abc,delivered,NULL,netbanking, 
O0000692,C00548,2023-08-26T00:41:22,delivered,1,upi,Pune
123abc,C00086,null,processing,1,NULL,Pune
NULL,@@@,2023-01-22T11:14:46,shipped,1,not_a_date,32-13-2025
O0000695,C00995,###BAD###,nan,N/A,card,Hyderabad
O0000696,C00969,2024-06-11T20:40:38,delivered,1,cod,Kolkata
O0000697,C00333,2024-07-04T06:37:40,returned,9999-99-99,cod,
O0000698,###BAD###,@@@,delivered,1,cod,Delhi
O0000699,C00508,###BAD###,processing,null,netbanking,invalid
O0000700,C00966,2024-01-05T20:18:01,delivered,1,netbanking,null
O0000701,C00704,not_a_date,32-13-2025,1,123abc,Hyderabad
O0000702,C00103,invalid,,1,card,Hyderabad
O0000703,nan,9999-99-99,cancelled,invalid,card,nan
O0000704,9999-99-99,9999-99-99,,1,card,nan
O0000705,not_a_date,2024-11-24T22:05:12,delivered,,32-13-2025,not_a_date
O0000706,C00315,2024-11-10T15:09:15,9999-99-99,3,invalid,null
O0000707,C00022,2023-04-02T03:34:18,delivered,1,cod,Bengaluru
###BAD###,C00002,2024-04-04T00:14:27,delivered,2,###BAD###,nan
O0000709,C00232,NULL,###BAD###,1,not_a_date,123abc
O0000710,C00174,2023-08-14T07:06:18,not_a_date,1,invalid,Delhi
nan,nan,9999-99-99,NULL,###BAD###,upi,@@@
invalid,C00696,2025-05-20T04:57:42,9999-99-99,1,upi,Pune
O0000713,NULL,2023-08-01T08:58:31,delivered,1,upi,Delhi
###BAD###,C00808,2023-01-05T04:49:41,delivered,1,netbanking,Hyderabad
O0000715,C00458,9999-99-99,NULL,1,,not_a_date
O0000716,###BAD###,###BAD###,, ,upi,Noida
O0000717,C00435,@@@,not_a_date,2,32-13-2025,Bengaluru
O0000718,C00822,null,delivered,3,cod,Kolkata
O0000719,C00394,2023-06-21T18:45:26,delivered,N/A,netbanking,Delhi
 ,C00241,,delivered,2,not_a_date,Bengaluru
O0000721,C00944,2023-08-14T01:58:22, ,2,123abc,invalid
O0000722,C00472,###BAD###,nan,1,netbanking,Kolkata
9999-99-99, ,2023-10-10T03:44:45,delivered,1,card,Hyderabad
O0000724,C00381,@@@,123abc,2,cod,Bengaluru
 ,,###BAD###,123abc,NULL,card,Hyderabad
O0000726,invalid,2024-01-09T15:47:08,delivered,###BAD###,upi,Noida
null,@@@,2024-11-21T14:50:41,delivered,,upi,Delhi
invalid,C00160,2023-05-03T20:02:38,cancelled,2,###BAD###,Mumbai
O0000729,C00406,NULL,delivered,1,32-13-2025,Chennai
nan,C00727,2024-04-10T13:59:10,delivered,###BAD###,card,Hyderabad
null,C00974,2023-09-14T23:13:25,delivered,@@@,netbanking,Hyderabad
O0000732,null,2023-06-08T22:29:30,delivered,2,cod,9999-99-99
O0000733,C00169,2023-04-22T11:41:27,NULL,1,,Delhi
O0000734,C00080,2025-01-12T19:49:54,nan,N/A,nan,###BAD###
 ,not_a_date,2023-08-07T02:13:38,N/A,1,null,Kolkata
O0000736,NULL,2024-02-18T20:59:02,NULL,2,card,Mumbai
O0000737,null,32-13-2025,,1,not_a_date,Mumbai
O0000738,invalid,@@@,delivered,2,cod,Pune
@@@,C00998,2023-09-23T22:43:06,N/A,1,32-13-2025,NULL
O0000740,@@@,,123abc,1,upi,invalid
O0000741,32-13-2025,2025-08-06T02:56:40,delivered,1,NULL,Kolkata
123abc,not_a_date,2023-10-16T22:10:32,null,1,upi,Noida
O0000743,null,2023-09-26T10:18:23,delivered,2,cod,NULL
O0000744,C00913,2025-03-04T07:13:39, ,###BAD###,netbanking,invalid
O0000745,N/A,2023-01-31T04:49:55,delivered, ,card,Noida
O0000746,32-13-2025,2025-07-20T10:10:59,delivered,2,@@@,9999-99-99
O0000747,C00591,N/A,delivered,1,cod,Chennai
O0000748,C00485,N/A,delivered,1,nan,Noida
9999-99-99,C00041,2025-01-14T09:25:26,processing,null,netbanking,Noida
,,###BAD###,delivered,1,cod,Chennai
O0000751,C00899,32-13-2025,32-13-2025,1,netbanking,Mumbai
N/A,9999-99-99,2023-08-04T09:24:10,@@@,2,card,
invalid,nan,2025-08-04T21:05:22,delivered,32-13-2025,cod,Delhi
O0000754,C00088,32-13-2025,shipped,1,cod,###BAD###
O0000755,C00205,2025-04-02T10:04:20,N/A, ,cod,N/A
123abc,not_a_date,###BAD###,delivered,not_a_date,nan,Noida
O0000757,C00150,123abc,@@@,@@@,32-13-2025,invalid
9999-99-99,C00959,2025-01-10T13:30:13,delivered,1,card,Hyderabad
O0000759,C00277,2024-05-31T20:11:05,NULL,nan,NULL,invalid
9999-99-99,C00084,123abc,delivered,2,netbanking,Chennai
O0000761,C00189,NULL,delivered,1, ,Bengaluru
O0000762,C00204,2024-12-16T13:30:30,delivered,1,netbanking,Hyderabad
 ,C00364,N/A,processing,1,netbanking,
,###BAD###,nan,processing,not_a_date,N/A,N/A
O0000765,null,9999-99-99,delivered,1,9999-99-99,Chennai
O0000766,invalid,2023-01-08T14:53:54,delivered,1,cod,@@@
O0000767,32-13-2025, ,delivered,2,netbanking,@@@
O0000768,C00222,2024-12-13T06:12:43,not_a_date,2,card,Pune
O0000769,not_a_date,NULL,delivered,123abc,card,Noida
invalid,C00665,,,###BAD###,cod,N/A
,C00117,2023-12-27T14:27:23,delivered,1,netbanking,Hyderabad
O0000772,###BAD###,2024-08-06T21:44:43,null,2,upi,Delhi
not_a_date,C00090,N/A,123abc,not_a_date,cod,Delhi
NULL,32-13-2025,,delivered,1,card,32-13-2025
O0000775,C00873,2025-05-11T06:14:49,delivered,2,null,Delhi
nan,C00201,,processing,N/A,cod,123abc
nan,###BAD###,NULL,not_a_date,N/A,upi,Chennai
O0000778,9999-99-99,2025-04-29T21:15:00, ,2,invalid,Mumbai
@@@,C00016,2023-02-23T04:50:23,processing,2,@@@,Pune
O0000780,123abc,nan,,1,,###BAD###
32-13-2025,C00821,2025-05-28T04:40:24,shipped,1,123abc,Hyderabad
123abc,C00926,2024-10-13T16:10:27,delivered,1,netbanking,Delhi
O0000783,C00647,2025-03-13T20:58:16,processing,1,netbanking,Pune
O0000784,@@@,invalid,null,1,netbanking,Mumbai
O0000785,C00633,32-13-2025,delivered,1,not_a_date,###BAD###
O0000786,###BAD###,2025-01-03T05:15:41, ,2,upi,Kolkata
O0000787,C00549,2024-05-17T23:49:51,cancelled,1,upi,Mumbai
O0000788, ,2023-06-19T04:40:01,nan,1,card,Delhi
O0000789,C00471,2023-09-09T03:09:18,,invalid,netbanking,Delhi
O0000790,C00080,2025-10-09T11:58:53,delivered,2,card,Noida
@@@,C00815,2023-02-14T13:04:31,shipped,1,card,Kolkata
O0000792, ,2025-05-09T12:56:20,32-13-2025,1,cod,Bengaluru
9999-99-99,C00185,2024-09-03T00:57:11,delivered,,card,
O0000794,123abc,###BAD###,,1,###BAD###,Bengaluru
O0000795,C00535,2024-06-05T03:12:38, ,NULL,not_a_date,Bengaluru
O0000796,@@@,2025-01-17T03:57:13,delivered,2,netbanking,Kolkata
O0000797,C00086,###BAD###,###BAD###,123abc,card,32-13-2025
O0000798,invalid,123abc,delivered,1, ,Kolkata
O0000799,C00257,2023-12-21T06:43:54,processing,1,upi,Hyderabad
O0000800,C00106, ,###BAD###,not_a_date,cod,NULL
O0000801,C00905,2025-07-02T13:38:47,invalid,null,123abc,Delhi
O0000802,C00622,123abc,delivered,1,not_a_date,Noida
null,C00172,2023-03-11T16:16:37,nan,not_a_date,upi,Hyderabad
O0000804,32-13-2025,null,delivered,1,netbanking,not_a_date
O0000805,C00252,NULL,delivered,32-13-2025,upi,Delhi
9999-99-99,C00010,2024-10-14T22:00:45,null,2,###BAD###,Pune
O0000807,N/A,2024-04-21T17:04:24,not_a_date,null,netbanking,Kolkata
123abc,C00106,@@@,returned,2,null,Hyderabad
123abc,C00699,N/A,delivered,1,card,Noida
O0000810,not_a_date,2023-04-06T08:26:07,delivered,1,netbanking,Pune
O0000811,###BAD###,2025-02-23T07:36:01,delivered,3,card,Noida
32-13-2025,C00292,123abc,###BAD###,not_a_date,9999-99-99,Pune
O0000813,C00661,N/A,9999-99-99,1,cod,Chennai
O0000814,@@@,invalid,delivered,2,upi,Noida
O0000815,NULL,2023-04-07T12:19:44,invalid,2,cod,Delhi
O0000816,C00864,@@@,delivered,invalid,card,N/A
invalid,C00108,2024-10-23T22:46:27,invalid,1,card,Kolkata
O0000818,C00742,###BAD###,null,32-13-2025,card,9999-99-99
O0000819,C00905,not_a_date,delivered,1,upi,Hyderabad
O0000820,123abc,2023-12-15T04:37:29,delivered,1,upi,@@@
O0000821,123abc,2025-04-26T20:28:42,delivered,2,invalid,Noida
invalid,C00678,null,delivered,32-13-2025,netbanking,123abc
N/A,C00271,2024-08-29T22:05:22,delivered,32-13-2025,netbanking,not_a_date
O0000824,9999-99-99, ,123abc,1,netbanking,###BAD###
O0000825,C00839,2025-02-27T06:31:06,delivered,1,upi,123abc
O0000826,C00726,N/A,delivered,2,netbanking,32-13-2025
O0000827, ,9999-99-99,invalid,nan,,N/A
,C00193,2023-05-21T08:27:10,delivered,NULL,123abc,N/A
N/A,C00473,null,delivered,2,N/A,32-13-2025
O0000830,C00274,not_a_date,delivered,null,upi,not_a_date
O0000831,C00950,9999-99-99,delivered,1,invalid,Pune
O0000832,,not_a_date,NULL,1,###BAD###,Hyderabad
